Run,r,theta,full,pr
258,1.25,0,1,0
259,1.25,0,1,0
260,1.25,0,1,0
261,1.25,0,1,0
262,1.25,0,1,0
264,0,0,1,0
270,0,0,0,0
271,0,0,1,0
273,1.25,0,1,0
274,1.25,0,0,0
275,1.25,90,1,0
276,1.25,90,0,0
277,1.25,90,1,90
279,1.25,180,1,0
280,1.25,180,0,0
281,1.25,270,0,0
282,1.25,270,1,0
283,1.25,90,0,0
284,1.25,45,0,0
285,1.25,45,0,0
286,1.25,45,1,0
289,1.25,135,0,0
291,1.25,135,1,0
292,1.25,225,1,0
293,1.25,225,0,0
294,1.25,315,1,0
295,1.25,315,0,0
296,30,330,1,0
298,30,30,1,0
299,30,90,1,0
301,30,150,1,0
303,30,210,1,0
305,30,210,1,90
307,30,210,1,180
308,0,0,1,0
309,0,0,1,90
310,0,0,1,180
311,0,0,1,270
